date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:25:41	7482/7482	---M-Z	200	added ('OK')	text/html	etag:W/%221d3a-te9QtTt4oX+Zx1HGu4bGUxhzPGo-gzip%22	https://lavachebobette.ch/	/home/pfannkuchen/Downloads/lavachebobette/lavachebobette.ch/index.html	(from )
17:25:42	149/149	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2028%20Oct%202023%2015:25:40%20GMT	https://lavachebobette.ch/robots.txt		(from )
17:25:42	13256/13256	---M-Z	200	added ('OK')	text/html	etag:W/%2233c8-ur/cGQ53vV+sF6ESgQ6qj3pRKck-gzip%22	https://lavachebobette.ch/articles	/home/pfannkuchen/Downloads/lavachebobette/lavachebobette.ch/articles.html	(from https://lavachebobette.ch/)
17:25:43	4136/4136	---M-Z	200	added ('OK')	text/html	etag:W/%221028-kA/Gs0woMLRAuf47o7jxHguaBBM-gzip%22	https://lavachebobette.ch/article/16	/home/pfannkuchen/Downloads/lavachebobette/lavachebobette.ch/article/16.html	(from https://lavachebobette.ch/)
17:25:44	4959/4959	---M-Z	200	added ('OK')	text/html	etag:W/%22135f-UmQZ9exYGdRjrQ4Zx1bD1WbMgzA-gzip%22	https://lavachebobette.ch/article/15	/home/pfannkuchen/Downloads/lavachebobette/lavachebobette.ch/article/15.html	(from https://lavachebobette.ch/)
17:25:45	5819/5819	---M-Z	200	added ('OK')	text/html	etag:W/%2216bb-2yBhj2qG34hTiSifblgf0XC1X5o-gzip%22	https://lavachebobette.ch/article/14	/home/pfannkuchen/Downloads/lavachebobette/lavachebobette.ch/article/14.html	(from https://lavachebobette.ch/)
17:25:46	4301/4301	---M-Z	200	added ('OK')	text/html	etag:W/%2210cd-UKx+oVcXL82YPrW45l2Gg/3zV+0-gzip%22	https://lavachebobette.ch/article/3	/home/pfannkuchen/Downloads/lavachebobette/lavachebobette.ch/article/3.html	(from https://lavachebobette.ch/)
17:25:47	4451/4451	---M-Z	200	added ('OK')	text/html	etag:W/%221163-M/982Ug4TYiE1iTeLE1CPmn0GDM-gzip%22	https://lavachebobette.ch/article/2	/home/pfannkuchen/Downloads/lavachebobette/lavachebobette.ch/article/2.html	(from https://lavachebobette.ch/)
17:25:48	10948/10948	---M-Z	200	added ('OK')	text/html	etag:W/%222ac4-qMHI+rISKEcXsCUxHDUrSNEayhk-gzip%22	https://lavachebobette.ch/article/7	/home/pfannkuchen/Downloads/lavachebobette/lavachebobette.ch/article/7.html	(from https://lavachebobette.ch/)
17:25:49	4251/4251	---M-Z	200	added ('OK')	text/html	etag:W/%22109b-HLAbfrT3/6miPLujw/WV7e3mY9M-gzip%22	https://lavachebobette.ch/article/1	/home/pfannkuchen/Downloads/lavachebobette/lavachebobette.ch/article/1.html	(from https://lavachebobette.ch/)
17:25:50	2839/2839	---M-Z	200	added ('OK')	text/html	etag:W/%22b17-OqQOwSkW7iOe5nSF6GZ+SFwjFN0-gzip%22	https://lavachebobette.ch/article/0	/home/pfannkuchen/Downloads/lavachebobette/lavachebobette.ch/article/0.html	(from https://lavachebobette.ch/)
